#,Unnamed: 1
"""Местное время в Варандее"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""14.05.2023 06:00"";""-0.9"";""763.8"";""764.5"";""-0.9"";""90"";""Ветер, дующий с юго-запада"";""8"";""10"";"""";""100%."";"" "";"""";"""";""-2.5"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-2.3"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью."";""45.0""",
"""14.05.2023 03:00"";""-0.8"";""764.7"";""765.4"";""-0.8"";""88"";""Ветер, дующий с западо-юго-запада"";""7"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-2.5"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 00:00"";""-1.5"";""765.5"";""766.2"";""-0.4"";""81"";""Ветер, дующий с западо-юго-запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""10.0"";""-4.4"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 21:00"";""-1.7"";""765.9"";""766.6"";""0.6"";""77"";""Ветер, дующий с западо-северо-запада"";""5"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-5.2"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 18:00"";""-1.9"";""765.3"";""766.0"";""1.4"";""78"";""Ветер, дующий с западо-северо-запада"";""5"";"""";"""";""40%."";"" "";"""";"""";"""";""0.2"";""Слоисто-кучевые, образовавшиеся из кучевых."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-5.3"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""13.05.2023 15:00"";""-1.1"";""763.9"";""764.6"";""2.8"";""76"";""Ветер, дующий с северо-северо-востока"";""5"";"""";""12"";""70 – 80%."";""Состояние неба в общем не изменилось. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""70 – 80%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.8"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 12:00"";""-0.2"";""761.1"";""761.8"";""3.4"";""87"";""Ветер, дующий с севера"";""7"";"""";""12"";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-2.1"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 09:00"";""0.2"";""757.7"";""758.2"";""1.3"";""99"";""Ветер, дующий с северо-запада"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";""100-200"";"""";"""";"""";""0.1"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 06:00"";""-0.2"";""756.4"";""757.0"";""0.9"";""99"";""Ветер, дующий с запада"";""5"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Туман или ледяной туман или сильная мгла."";""-0.3"";"""";"""";"""";"""";"""";"""";""0.05"";""-0.3"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""46.0""",
"""13.05.2023 03:00"";""-0.1"";""755.5"";""756.1"";""-0.6"";""100"";""Ветер, дующий с запада"";""3"";"""";"""";""100%."";""Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""0.2"";""-0.1"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 00:00"";""0.7"";""756.1"";""756.7"";""-1.0"";""97"";""Ветер, дующий с юго-юго-запада"";""3"";"""";"""";""100%."";""Туман или ледяной туман, небо видно, начался или усилился в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""0.2"";""0.2"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 21:00"";""1.2"";""757.1"";""757.7"";""-1.7"";""89"";""Ветер, дующий с юго-юго-востока"";""4"";"""";"""";""60%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""60%."";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.5"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 18:00"";""0.1"";""758.8"";""759.4"";""-1.4"";""93"";""Ветер, дующий с востоко-юго-востока"";""4"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";""1.4"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.9"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""12.05.2023 15:00"";""1.2"";""760.2"";""760.9"";""-1.2"";""85"";""Ветер, дующий с востоко-юго-востока"";""6"";"""";""10"";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2000-2500"";""Высококучевые башенкообразные или хлопьевидные."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.1"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 12:00"";""1.0"";""761.4"";""762.1"";""-1.0"";""80"";""Ветер, дующий с востоко-юго-востока"";""7"";""10"";""10"";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";""-2.1"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 09:00"";""-3.0"";""762.4"";""763.1"";""-1.3"";""85"";""Ветер, дующий с востоко-юго-востока"";""7"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";""-5.2"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 06:00"";""-7.0"";""763.7"";""764.4"";""-1.0"";""89"";""Ветер, дующий с востока"";""5"";"""";"""";""20–30%."";"" "";"""";"""";""-9.5"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-8.5"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""50.0""",
"""12.05.2023 03:00"";""-9.3"";""764.7"";""765.4"";""-0.8"";""92"";""Ветер, дующий с востока"";""6"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""10.0"";""-10.4"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 00:00"";""-8.5"";""765.5"";""766.2"";""-0.5"";""93"";""Ветер, дующий с востока"";""5"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""20.0"";""-9.4"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 21:00"";""-6.4"";""766.0"";""766.7"";""-0.7"";""94"";""Ветер, дующий с востока"";""4"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""10.0"";""-7.2"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 18:00"";""-2.1"";""766.7"";""767.4"";""-0.7"";""93"";""Ветер, дующий с востока"";""3"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";""-0.3"";""Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне."";""70 – 80%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""10.0"";""-3.1"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""11.05.2023 15:00"";""-0.4"";""767.4"";""768.1"";""-0.9"";""82"";""Ветер, дующий с востоко-юго-востока"";""2"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""90  или более, но не 100%"";""2000-2500"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""10.0"";""-3.1"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 12:00"";""-2.0"";""768.3"";""769.0"";""-0.3"";""84"";""Ветер, дующий с юго-запада"";""3"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""90  или более, но не 100%"";""200-300"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.3"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 09:00"";""-3.3"";""768.6"";""769.0"";""-0.1"";""92"";""Ветер, дующий с юго-запада"";""6"";"""";"""";"""";"" "";"""";"""";""-3.4"";"""";"""";"""";""100-200"";"""";"""";"""";""-4.4"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 06:00"";""-2.7"";""768.7"";""769.4"";""0.2"";""96"";""Ветер, дующий с юго-запада"";""7"";"""";"""";""100%."";"" "";"""";"""";""-2.7"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""10.0"";""-3.3"";""0.2"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""50.0""",
"""11.05.2023 03:00"";""-1.9"";""768.5"";""769.2"";""0.3"";""92"";""Ветер, дующий с запада"";""7"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1000-1500"";"""";"""";""10.0"";""-3.0"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 00:00"";""-1.9"";""768.2"";""768.9"";""-0.1"";""94"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""10.0"";""-2.8"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 21:00"";""-2.2"";""768.3"";""769.0"";""0.4"";""91"";""Ветер, дующий с запада"";""4"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""200-300"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""10.0"";""-3.5"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 18:00"";""-2.3"";""767.9"";""768.6"";""0.7"";""89"";""Ветер, дующий с западо-северо-запада"";""4"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-2.1"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""20.0"";""-3.9"";""Следы осадков"";""12"";"""";"""";"""";""""",
"""10.05.2023 15:00"";""-2.3"";""767.2"";""767.9"";""1.5"";""85"";""Ветер, дующий с северо-северо-запада"";""3"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""70 – 80%."";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.5"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 12:00"";""-2.7"";""765.7"";""766.3"";""2.1"";""88"";""Ветер, дующий с северо-северо-запада"";""5"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""90  или более, но не 100%"";""200-300"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.5"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 09:00"";""-3.2"";""763.6"";""764.2"";""2.0"";""92"";""Ветер, дующий с северо-северо-запада"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""20.0"";""-4.4"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 06:00"";""-3.2"";""761.6"";""762.3"";""1.5"";""96"";""Ветер, дующий с севера"";""6"";"""";"""";""100%."";"" "";"""";"""";""-3.2"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""10.0"";""-3.8"";""0.3"";""12"";"""";"""";"""";""""",
"""10.05.2023 03:00"";""-1.4"";""760.1"";""760.0"";""2.5"";""99"";""Ветер, дующий с севера"";""4"";"""";"""";""100%."";""Дымка. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""50-100"";"""";"""";""4.0"";""-1.5"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 00:00"";""-1.3"";""757.6"";""758.0"";""1.2"";""97"";""Ветер, дующий с севера"";""3"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""200-300"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""4.0"";""-1.7"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 21:00"";""-0.5"";""756.4"";""757.0"";""0.2"";""99"";""Ветер, дующий с востоко-северо-востока"";""1"";"""";"""";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""200-300"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""2.0"";""-0.6"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 18:00"";""-0.4"";""756.2"";""756.8"";""-0.1"";""97"";""Ветер, дующий с западо-юго-запада"";""3"";"""";"""";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""0.5"";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""200-300"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""2.0"";""-0.8"";""Следы осадков"";""12"";"""";"""";"""";""""",
"""09.05.2023 15:00"";""0.2"";""756.3"";""756.9"";""0.1"";""96"";""Ветер, дующий с юго-запада"";""5"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Дождь со снегом или другими видами твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""200-300"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""4.0"";""-0.3"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 12:00"";""-0.2"";""756.2"";""756.8"";""0.5"";""94"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""600-1000"";""Высококучевые башенкообразные или хлопьевидные."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.1"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 09:00"";""-0.8"";""755.7"";""756.3"";""0.8"";""96"";""Ветер, дующий с запада"";""5"";"""";"""";""70 – 80%."";""Снег неливневый. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.4"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 06:00"";""-1.0"";""754.9"";""755.5"";""0.6"";""98"";""Ветер, дующий с западо-северо-запада"";""4"";"""";"""";""70 – 80%."";""Снег неливневый. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-1.5"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""70 – 80%."";""2000-2500"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.3"";""2.0"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""52.0""",
"""09.05.2023 03:00"";""-0.5"";""754.3"";""754.9"";""-0.9"";""99"";""Ветер, дующий с западо-юго-запада"";""6"";"""";""10"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""100-200"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""2.0"";""-0.7"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 00:00"";""-0.4"";""755.2"";""755.8"";""-1.2"";""99"";""Ветер, дующий с западо-юго-запада"";""8"";""10"";""10"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""100-200"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""10.0"";""-0.6"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 21:00"";""-0.5"";""756.4"";""757.0"";""-1.3"";""99"";""Ветер, дующий с западо-юго-запада"";""7"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""100-200"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""4.0"";""-0.7"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 18:00"";""-0.3"";""757.7"";""758.4"";""-1.1"";""96"";""Ветер, дующий с западо-юго-запада"";""7"";"""";""11"";""100%."";"" "";"""";"""";"""";""0.1"";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""10.0"";""-0.8"";""0.5"";""12"";"""";"""";"""";""""",
"""08.05.2023 15:00"";""-0.6"";""758.8"";""759.5"";""-0.9"";""97"";""Ветер, дующий с западо-юго-запада"";""8"";""10"";""11"";""100%."";""Дымка. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""4.0"";""-1.0"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 12:00"";""-2.4"";""759.7"";""760.3"";""-0.4"";""95"";""Ветер, дующий с западо-юго-запада"";""5"";"""";"""";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""2.0"";""-3.1"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 09:00"";""-4.8"";""760.1"";""760.8"";""-0.2"";""78"";""Ветер, дующий с запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1000-1500"";"""";"""";""20.0"";""-8.1"";"""";"""";"""";"""";"""";""""",
